Palce_State,Place_District,Place_City,Place_Name,Place_Rating,Place_Category,Place_Address,Place_GPS_Code,Place_Description,Place_Map_Link,Place_Photo,Unnamed: 11
Maharashtra,Ratnagiri,Ratnagiri,Prachin Konkan,4.3,Museum,"Konkan Tourism Development & Research Centre, Taluka & District Ratnagiri, Ganpatipule, Maharashtra 415615","17.150132380177187, 73.2754540974944",Open-air regional history museum,https://www.google.com/maps/place/Prachin+Konkan/data=!4m5!3m4!1s0x3bea1aaa624ce017:0x30c5c3af9f612521!8m2!3d17.150035!4d73.2754541?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipP5Fhy06PUz4buyk2w6K_1BNMYSusvPrecRimsm=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Shree Mahalakshmi's House of Wax,3,Museum,shree mahalakshmi holiday resort ganapatipule,"17.14263843631338, 73.27201736865793",-,https://www.google.com/maps/place/Shree+Mahalakshmi's+House+of+Wax/data=!4m5!3m4!1s0x3bea10015de0cb6f:0x5e2d9e541676a28!8m2!3d17.1425308!4d73.2720281?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOiQ_6qHYWDfDW_RSNVk2bC-j6ayrgF_hr9gKeM=w80-h142-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Jaigad Light House,4.3,Tourist attraction,"75XR+M66, Nandivade, Maharashtra 415614","17.299180596927172, 73.1905411840057",-,https://www.google.com/maps/place/Jaigad+Light+House/data=!4m5!3m4!1s0x3bea1ddda4432351:0x45e9f82fab7d3149!8m2!3d17.299155!4d73.190509?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNjEDr9lm_Jqh40Zu-FBznp8H-kzk_K15T1PYzQ=w138-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Shree Ganpatipule Mandir,4.7,Temple,"Ganpatipule, Maharashtra 415615","17.14452827892707, 73.26643015516721","Temple, believed to be hundreds of years old, dedicated to Lord Ganapati (Ganesha).",https://www.google.com/maps/place/Shree+Ganpatipule+Mandir/data=!4m5!3m4!1s0x3bea1007c98810ab:0x18d715417b0273e4!8m2!3d17.1444514!4d73.2664087?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMEbYp19dUnGrdVuUaaDiFp-_chrXJMXNejc2rt=w131-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Magic Garden,4.1,Park,"District and Tehsil Ratnagiri, Opp. Prachin Konkan, Ganpatipule, Maharashtra 415615","17.15010376946774, 73.27488389749446",-,https://www.google.com/maps/place/Magic+Garden/data=!4m5!3m4!1s0x3bea1aaae9aaf28f:0x4e156098513ce86!8m2!3d17.1500679!4d73.2748839?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNGZ9xIPoxsUDJkDMWncw7f2FqaTxAYjZLTNv7v=w138-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Boat Club Beach,4.7,Beach,"5737+7FR, Ganpatipule, Maharashtra 415615","17.153302575288343, 73.2636272686582",-,https://www.google.com/maps/place/Boat+Club+Beach/data=!4m5!3m4!1s0x3bea1bbf342b113f:0xd50bbe878ce3053b!8m2!3d17.1532257!4d73.263638?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMGWPjQKLaLKxEFunL6p0IfSc03aJH4b6HzLagF=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Jaigad Fort,4.1,Fortress,"Jaigad Costal Road, Jaigad, Maharashtra 415614","17.300549327066616, 73.22161199749657",Hilltop fortress from 1726,https://www.google.com/maps/place/Jaigad+Fort/data=!4m5!3m4!1s0x3bea1da24cc5774f:0x9002f811b7303ba8!8m2!3d17.300493!4d73.221612?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNbhzYu51cWEXliJ6aCWu3tI8LTTMYg49xS4j7Y=w163-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,DYNAMIC horse riding,4.4,Tourist attraction,"47W8+58H, Ganpatipule, Maharashtra 415615","17.145485270363036, 73.26585489749438",-,https://www.google.com/maps/place/DYNAMIC+horse+riding/data=!4m5!3m4!1s0x3bea115db84a9583:0xca0fc7834fe638ca!8m2!3d17.1454494!4d73.2658549?authuser=0&hl=en&rclk=1,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,
Maharashtra,Ratnagiri,Ratnagiri,Jai Vinayak Temple,4.8,Temple,"JSW Township Chaferi, Maharashtra 415614","17.252647249531236, 73.23784829749592",-,https://www.google.com/maps/place/Jai+Vinayak+Temple/data=!4m5!3m4!1s0x3bea1c8affffffff:0xfed0ac4f1c64bf39!8m2!3d17.2526114!4d73.2378483?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNj_-agzSPuT1i5juKBwLEqtKCCKbSk8iJH-uz2=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Ganpatipule Beach,4.6,Beach,"beach road, Ganpatipule, Maharashtra 415615","17.14702332202097, 73.26560505516713",-,https://www.google.com/maps/place/Ganpatipule+Beach/data=!4m5!3m4!1s0x3bea1007f9c52273:0x7b8fa73f7b60b0de!8m2!3d17.1469772!4d73.2655836?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMQs6m0JOYQWlcrQrqA4zRJ8ITukwCvtETTqcVP=w80-h106-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Beach View Point,4.4,Tourist attraction,"47JC+CFC, Maharashtra 415615","17.131038573161767, 73.2703669686578",-,https://www.google.com/maps/place/Beach+View+Point/data=!4m5!3m4!1s0x3bea11d833509621:0xb9abb472277c41bf!8m2!3d17.1310027!4d73.2703777?authuser=0&hl=en&rclk=1,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,
Maharashtra,Ratnagiri,Ratnagiri,Pradakshina Marg,4.4,Tourist attraction,"Bus Stop, MSH4, Ganpatipule, Maharashtra 415615","17.144602878896126, 73.26891629749437",-,https://www.google.com/maps/place/Pradakshina+Marg/data=!4m5!3m4!1s0x3bea118d535598e7:0xc360123ff895eb65!8m2!3d17.144526!4d73.2689163?authuser=0&hl=en&rclk=1,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,
Maharashtra,Ratnagiri,Ratnagiri,Kavi Keshavsoot Smarak,4.6,Park,"5788+968, Malgund, Ganpatipule, Maharashtra 415615","17.16598016820699, 73.26557729749464",-,https://www.google.com/maps/place/Kavi+Keshavsoot+Smarak/data=!4m5!3m4!1s0x3bea1ab768219481:0xf8d0d1b26466db9e!8m2!3d17.1659238!4d73.2655773?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPfpV2iPyzar85MifCAsUcG0fqK7cKqMeoql_VO=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Ratnadurg Fort,4.5,Fortress,"Ratnadurg Killa, Ratnagiri, Maharashtra 415612","16.9961595196812, 73.27060139749231",Hilltop 1670 fortress with a temple,https://www.google.com/maps/place/Ratnadurg+Fort/data=!4m5!3m4!1s0x3bea129b82de8597:0xd38137ef65faeec5!8m2!3d16.9961031!4d73.2706014?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNEllZoJS5HwhyO_Ntp_AmmrQobxTj8DVy7HdlB=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Bhandarpule Beach,4.4,Beach,"47JC+CFC, Maharashtra 415615","17.12929529111358, 73.27009746865775",-,https://www.google.com/maps/place/Bhandarpule+Beach/data=!4m5!3m4!1s0x3bea1133117f4f8d:0x98be9bd46b25f56d!8m2!3d17.1291979!4d73.2701082?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMsAUmHxSBnouoqqz1B4dYjv-ijjTQsdL_wwvbI=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Ganpati Temple,4.7,Temple,"X7WR+V7H, Tilak Ali, Ratnagiri, Maharashtra 415612","16.997280960102078, 73.29080059934705",-,https://www.google.com/maps/place/Ganpati+Temple/data=!4m5!3m4!1s0x3bea0d6f1b350271:0x8d0792bc67450e55!8m2!3d16.9971835!4d73.2907255?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPZbTqFgI_b9DHTeKHn9C0-zsnAoYlT-ZljsZ-i=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Mandavi Beach,4.4,Beach,"Sadanand Wadi, Ratnagiri, Maharashtra 415612","16.991349739594483, 73.28146879749224",,https://www.google.com/maps/place/Mandavi+Beach/data=!4m5!3m4!1s0x3bea0d60d8fca7c5:0xe73dc1b0329165a3!8m2!3d16.9913241!4d73.2814688?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipP9QCwq-wZYFUHNhHjd4oBd9peLUGjPNKw2axTq=w80-h106-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Morya Water Sports,4.2,Tourist attraction,"Beach, At, Ganpatipule, Maharashtra 415615","17.146417274161962, 73.26518612633079",-,https://www.google.com/maps/place/Morya+Water+Sports/data=!4m5!3m4!1s0x3bea11c36fd1a991:0x82f9968c667e9b9c!8m2!3d17.1463609!4d73.2651754?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPLQFkR80ELeVWxON5CoqeyzOlwOB07RM-SbR3I=w122-h92-k-no,
