Hotel_State,Hotel_City,Hotel_Pin,Hotel_Category,Hotel_Name,Hotel_GPS_Cods,Hotel_Map_Links,Hotel_Rating,Hotel_Stars,Hotel_Address,Hotel_Price,Hotel_AddOns_1,Hotel_AddOns_2,Hotel_AddOns_3,Hotel_AddOns_4
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Maharashtra,Diveagar,"4,02,404",H,Maitreya Beach Resort,"18.170277598228488, 72.98976440590529",https://www.google.com/maps/place/Maitreya+Beach+Resort/data=!4m8!3m7!1s0x3be84ed39a42404b:0xd0a697ba823b0092!5m2!4m1!1i2!8m2!3d18.17013!4d72.989705?authuser=0&hl=en&rclk=1,4.1,3,"At & Post Dive Agar, Suvarna Ganesh pakhadi (Lane), Opp. Wad Bunglow, Tal. Shriwardhan Dist. Raigad, Diveagar, Maharashtra 402404",1854,Pool,Beach access,Air-conditioned,Restaurant
Maharashtra,Diveagar,"4,02,404",H,Hotel Arya Inn,"18.17840367144023, 72.98815123289303",https://www.google.com/maps/place/Hotel+Arya+Inn/data=!4m8!3m7!1s0x3be84f2a3d36b1a3:0xf3475d66e74fcdd2!5m2!4m1!1i2!8m2!3d18.178225!4d72.988157?authuser=0&hl=en&rclk=1,4.2,3,"Gautameshwer Mandir road , talani, Diveagar, Maharashtra 402404",2471,Pool,Free breakfast,Air-conditioned,Breakfast
Maharashtra,Diveagar,"4,02,404",H,Exotica The Beach Resort,"18.175407200341837, 72.9851482887159",https://www.google.com/maps/place/Exotica+The+Beach+Resort/data=!4m8!3m7!1s0x3be84f29ac30ef29:0xf32080ad72d9aff!5m2!4m1!1i2!8m2!3d18.1752696!4d72.9852073?authuser=0&hl=en&rclk=1,4.2,3,"MTDC, Talani, Marathi School Rd, Diveagar, Maharashtra 402404",5320,Free parking,Free breakfast,Free Wi-Fi,Beach access
Maharashtra,Diveagar,"4,02,404",H,Cocohut Resort,"18.16655520138218, 72.98872032919708",https://www.google.com/maps/place/Cocohut+Resort/data=!4m8!3m7!1s0x3be84ed2130b1519:0x36ced7618c93d12c!5m2!4m1!1i2!8m2!3d18.1664074!4d72.9888759?authuser=0&hl=en&rclk=1,3.9,2,"Samarth Nagar, Diveagar, Maharashtra 402404",3195,Pool,Free breakfast,Beach access,Air-conditioned
Maharashtra,Diveagar,"4,02,404",H,Happy Day's Diveagar,"18.161964610945518, 72.98848063289263",https://www.google.com/maps/place/Happy+Day's+Diveagar/data=!4m8!3m7!1s0x3be84ecc3a8ff9fd:0x1adfef8529bb5e70!5m2!4m1!1i2!8m2!3d18.161827!4d72.988486?authuser=0&hl=en&rclk=1,4.1,2,"India maharashtra raigad shriverdhan diveagar, Diveagar, Maharashtra 402404",4133,Free parking,Free Wi-Fi,Beach access,Air-conditioned
Maharashtra,Diveagar,"4,02,404",H,Shree Ganesh Beach Resort,"18.17607434134551, 72.98630646172828",https://www.google.com/maps/place/Shree+Ganesh+Beach+Resort/data=!4m8!3m7!1s0x3be84ed6109393f5:0xe59856ca020e416!5m2!4m1!1i2!8m2!3d18.175845!4d72.9863011?authuser=0&hl=en&rclk=1,3.8,2,"Near Exotica, Taluk Shrivardhan, District, Diveagar, Maharashtra 402404",3716,Free parking,Free breakfast,Beach access,Air-conditioned
Maharashtra,Diveagar,"4,02,404",H,"Patil Guest House, Diveagar Beach","18.175986934971753, 72.98508426172826","https://www.google.com/maps/place/Patil+Guest+House,+Diveagar+Beach/data=!4m8!3m7!1s0x3be84ed62fc23f27:0x94e48573e477618f!5m2!4m1!1i2!8m2!3d18.1757474!4d72.9850789?authuser=0&hl=en&rclk=1",4.3,3,"Marathi School Rd, Diveagar, Maharashtra 402404",58570,Beach access,,,
